"","Model","preds","Mean.ROC","SEM.ROC","Mean.Sens","SEM.Sens","Mean.Spec","SEM.Spec"
"1","LogisticReg",12,0.789900793650794,0.0140370896544022,0.695,0.0224757364764479,0.712142857142857,0.0233004121100492
"2","LogisticReg (RFE)",8,0.809786706349206,0.0137268881743988,0.732777777777778,0.0194992748151555,0.735714285714286,0.0228170201785693
"3","NaiveBayes",12,0.780367063492064,0.0165347114953925,0.672777777777778,0.0236641061926007,0.780714285714286,0.0246489302526279
"4","NaiveBayes (RFE)",4,0.817579365079365,0.0154769143904682,0.656944444444444,0.0190940653956493,0.780357142857143,0.022258292634516
"5","NSC",4,0.776855158730159,0.0167292026368492,0.769444444444444,0.0267084423340696,0.581785714285714,0.0284988601012752
"6","RandomForest",12,0.859469246031746,0.0120317571197372,0.747222222222222,0.0201952549999992,0.765357142857143,0.0226567955186447
"7","RandomForest (RFE)",12,0.852983630952381,0.0127271564584188,0.756388888888889,0.0223148932231728,0.7325,0.0227283749874691
"8","SVM",12,0.852599206349206,0.0125417752192346,0.777222222222222,0.0204084026189038,0.776428571428571,0.0184538778037978
"9","SVM (RFE)",11,0.85235119047619,0.010337670753148,0.783611111111111,0.0199721477138377,0.755357142857143,0.0179316956844796
